ID;date;activity;phase;start;end;notes
BIRRO;19/09/2024;assis immobile;;15:34:30;15:37:30;
BIRRO;19/09/2024;debout immobile;;15:38:00;15:41:00;
BIRRO;19/09/2024;marche spontanee;;15:41:30;15:44:30;
BIRRO;19/09/2024;marche lente;;15:45:00;15:48:00;
BIRRO;19/09/2024;marche rapide;;15:48:30;15:51:30;
BIRRO;19/09/2024;course spontanee;;15:52:00;15:55:00;
BIRRO;19/09/2024;velo spontanee;;15:55:30;15:58:30;
BIRRO;19/09/2024;escalier montee;1;16:00:00;16:00:12;
BIRRO;19/09/2024;escalier descente;1;16:00:12;16:00:24;
BIRRO;19/09/2024;escalier montee;2;16:00:24;16:00:36;
BIRRO;19/09/2024;escalier descente;2;16:00:36;16:00:47;
BIRRO;19/09/2024;escalier montee;3;16:00:47;16:00:59;
BIRRO;19/09/2024;escalier descente;3;16:00:59;16:01:12;
BIRRO;19/09/2024;escalier montee;4;16:01:12;16:01:24;
BIRRO;19/09/2024;escalier descente;4;16:01:24;16:01:35;
BIRRO;19/09/2024;escalier montee;5;16:01:35;16:01:47;
BIRRO;19/09/2024;escalier descente;5;16:01:47;16:01:57;
BIRRO;19/09/2024;escalier montee;6;16:01:57;16:02:09;
BIRRO;19/09/2024;escalier descente;6;16:02:09;16:02:20;
BIRRO;19/09/2024;escalier montee;7;16:02:20;16:02:31;
BIRRO;19/09/2024;escalier descente;7;16:02:31;16:02:42;
BIRRO;19/09/2024;escalier montee;8;16:02:42;16:02:53;
BIRRO;19/09/2024;escalier descente;8;16:02:53;16:03:00;
JUNTI;19/09/2024;assis immobile;;14:44:30;14:47:30;
JUNTI;19/09/2024;debout immobile;;14:48:00;14:51:00;
JUNTI;19/09/2024;marche spontanee;;14:51:30;14:54:30;
JUNTI;19/09/2024;marche lente;;14:55:11;14:58:11;
JUNTI;19/09/2024;marche rapide;;14:58:41;15:01:41;
JUNTI;19/09/2024;course spontanee;;15:02:11;15:05:11;
JUNTI;19/09/2024;velo spontanee;;15:05:41;15:08:41;
JUNTI;19/09/2024;escalier montee;1;15:09:57;15:10:12;
JUNTI;19/09/2024;escalier descente;1;15:10:12;15:10:25;
JUNTI;19/09/2024;escalier montee;2;15:10:25;15:10:39;
JUNTI;19/09/2024;escalier descente;2;15:10:39;15:10:53;
JUNTI;19/09/2024;escalier montee;3;15:10:53;15:11:08;
JUNTI;19/09/2024;escalier descente;3;15:11:08;15:11:26;
JUNTI;19/09/2024;escalier montee;4;15:11:26;15:11:37;
JUNTI;19/09/2024;escalier descente;4;15:11:37;15:11:52;
JUNTI;19/09/2024;escalier montee;5;15:11:52;15:12:06;
JUNTI;19/09/2024;escalier descente;5;15:12:06;15:12:20;
JUNTI;19/09/2024;escalier montee;6;15:12:20;15:12:34;
JUNTI;19/09/2024;escalier descente;6;15:12:34;15:12:49;
FAUMA;19/09/2024;assis immobile;;15:05:30;15:08:30;
FAUMA;19/09/2024;debout immobile;;15:09:00;15:12:00;
FAUMA;19/09/2024;marche spontanee;;15:12:30;15:15:30;
FAUMA;19/09/2024;marche lente;;15:16:00;15:19:00;
FAUMA;19/09/2024;marche rapide;;15:19:30;15:22:30;
FAUMA;19/09/2024;course spontanee;;15:23:00;15:26:00;
FAUMA;19/09/2024;velo spontanee;;15:26:36;15:29:36;
FAUMA;19/09/2024;escalier montee;1;15:30:36;15:30:47;
FAUMA;19/09/2024;escalier descente;1;15:30:47;15:30:59;
FAUMA;19/09/2024;escalier montee;2;15:30:59;15:31:12;
FAUMA;19/09/2024;escalier descente;2;15:31:12;15:31:24;
FAUMA;19/09/2024;escalier montee;3;15:31:24;15:31:38;
FAUMA;19/09/2024;escalier descente;3;15:31:38;15:31:50;
FAUMA;19/09/2024;escalier montee;4;15:31:50;15:32:03;
FAUMA;19/09/2024;escalier descente;4;15:32:03;15:32:15;
FAUMA;19/09/2024;escalier montee;5;15:32:15;15:32:27;
FAUMA;19/09/2024;escalier descente;5;15:32:27;15:32:40;
FAUMA;19/09/2024;escalier montee;6;15:32:40;15:32:53;
FAUMA;19/09/2024;escalier descente;6;15:32:53;15:33:05;
FAUMA;19/09/2024;escalier montee;7;15:33:05;15:33:18;
FAUMA;19/09/2024;escalier descente;7;15:33:18;15:33:31;
BUFCA;19/09/2024;assis immobile;;15:50:30;15:53:30;
BUFCA;19/09/2024;debout immobile;;15:54:00;15:57:00;
BUFCA;19/09/2024;marche spontanee;;15:57:30;16:00:30;
BUFCA;19/09/2024;marche lente;;16:01:00;16:04:00;
BUFCA;19/09/2024;marche rapide;;16:04:30;16:07:30;
BUFCA;19/09/2024;course spontanee;;16:08:00;16:11:00;
BUFCA;19/09/2024;velo spontanee;;16:11:35;16:14:35;
BUFCA;19/09/2024;escalier montee;1;16:15:35;16:15:43;
BUFCA;19/09/2024;escalier descente;1;16:15:43;16:15:55;
BUFCA;19/09/2024;escalier montee;2;16:15:55;16:16:04;
BUFCA;19/09/2024;escalier descente;2;16:16:04;16:16:15;
BUFCA;19/09/2024;escalier montee;3;16:16:15;16:16:23;
BUFCA;19/09/2024;escalier descente;3;16:16:23;16:16:34;
BUFCA;19/09/2024;escalier montee;4;16:16:34;16:16:42;
BUFCA;19/09/2024;escalier descente;4;16:16:42;16:16:53;
BUFCA;19/09/2024;escalier montee;5;16:16:53;16:17:01;
BUFCA;19/09/2024;escalier descente;5;16:17:01;16:17:11;
BUFCA;19/09/2024;escalier montee;6;16:17:11;16:17:19;
BUFCA;19/09/2024;escalier descente;6;16:17:19;16:17:30;
BUFCA;19/09/2024;escalier montee;7;16:17:30;16:17:39;
